MortageRates,HomePrices
10.30,183,800
10.30,183,200
10.10,174,900
9.30,173,500
8.40,172,900
7.30,173,200
8.40,173,200
7.90,169,700
7.60,174,500
7.60,177,900
6.90,188,100
7.40,203,200
8.10,230,200
7.0,258,200
6.50,309,800
5.80,329,800
